359 428 535 1617 2848
PROFITS 1 0 0 1 36
HIT 3 2 1 1 3
BY 19 17 7 18 26
GUINNESS 0 0 0 5 1
&lt;Morgan 0 0 1 2 2
Grenfell 0 0 0 1 7
Plc> 0 0 0 25 5
pre-tax 0 1 0 13 81
depreciation 0 0 9 0 25
Guinness 0 0 0 18 6
Plc 3 0 0 70 49
&lt;GUIN.L> 0 0 0 4 1
Morgan 2 0 8 18 16
Lord 2 0 2 0 4
Catto 0 0 0 0 4
arbitrage 0 0 0 16 2
82.2 0 0 1 0 4
informal 3 1 6 1 1
approaches 2 0 0 0 2
interested. 0 0 0 4 1
formal 2 4 6 18 4
offers 3 8 15 34 1
made, 1 3 0 7 2
elaborate. 5 1 3 4 5
merchant 1 0 1 12 4
successful 4 5 12 6 8
bid 8 18 13 176 12
Distillers 0 0 0 4 1
&lt;DIST.L> 0 0 0 0 1
launched 2 2 2 18 4
investigation 0 0 0 6 5
affairs 0 0 2 0 2
December. 5 2 2 5 3
concern 12 8 10 25 9
focused 0 1 5 3 4
breached 1 0 2 2 1
Takeover 0 0 0 2 1
Code 0 0 0 1 1
prompting 0 2 0 2 1
bid. 1 1 1 28 1
Christopher 0 1 0 1 1
Reeves, 0 0 0 0 1
Graham 0 1 0 0 1
Walsh 0 0 0 2 7
Roger 1 0 3 1 2
Seelig 0 0 0 0 1
affair. 0 1 0 1 1
Another 2 11 15 10 5
executive, 0 0 0 2 4
Geoffrey 0 0 0 0 1
Collier, 0 0 0 0 1
allegations 0 0 0 2 2
information. 0 0 0 7 1
faces 2 4 1 3 6
charges. 0 0 0 3 4
"one 1 0 1 1 2
traumatic 0 0 0 0 1
history," 0 0 0 1 1
supportive. 0 0 0 0 1
certainly 6 4 2 2 3
look 8 11 7 10 8
way. 0 0 2 3 2
worst 3 6 3 0 1
behind 3 2 18 2 10
swept 0 0 0 0 1
carpet." 0 0 0 0 1
Profits 0 0 2 0 10
68.8 0 2 0 0 5
stg, 3 1 16 3 15
contribution 0 0 3 3 14
activities 9 1 2 19 21
management. 0 0 0 18 6
Ewart 0 0 0 0 1
"within 0 0 0 0 2
reasonable 3 3 3 8 4
touch 0 1 3 0 1
budget." 0 0 1 0 1
actively 0 5 5 8 9
replace 4 1 7 6 4
Sir 0 0 0 4 4
Carey, 0 0 0 0 1
Reeves' 0 0 0 0 1
resignation, 0 0 0 0 1
hopes 6 0 7 7 10
few 13 11 20 17 11
Reeves 0 0 0 0 1
562,000 0 0 0 0 2
compensation 1 2 0 3 4
resignations, 0 0 0 0 1
man 0 0 1 1 1
got. 0 0 0 0 1
Negotiations 1 1 1 0 1
going 10 10 12 33 13
Seelig, 0 0 0 0 1
366p, 0 0 0 0 1
9p 0 0 0 0 2
yesterday's 3 3 8 4 6
375p. 0 0 0 0 1
REUTER... 0 0 2 3 2
CURRENCY 0 0 41 0 0
REPAY 0 0 1 0 0
DEBT 2 0 6 1 5
Belgian 0 0 9 10 2
National 16 35 35 99 24
open 18 11 25 41 19
9, 0 1 5 1 1
bought. 0 0 1 2 0
purchased 4 7 25 56 8
debt 19 2 55 64 106
slipped 7 0 7 2 3
394 0 0 1 0 0
37.33 0 0 1 0 0
billion, 2 1 10 2 24
Special 0 2 1 0 1
Drawing 0 0 1 0 0
Rights, 0 0 1 0 0
COS 0 0 0 2 16
FINANCIAL 0 0 1 24 40
&lt;UNCF> 0 0 0 0 2
68 4 1 0 3 33
2,432,179 0 0 0 0 1
2,236,471 0 0 0 0 1
50.8 0 0 0 0 3
35.1 0 0 0 0 10
3,600,000 0 0 0 2 4
2,850,000 0 0 0 0 2
9,554,658 0 0 0 0 1
177.5 0 0 1 0 2
138.1 0 0 0 0 2
3,567,123 0 0 0 0 1
COMMERCIAL 1 0 0 3 7
METALS 0 0 0 1 5
&lt;CMC> 0 0 0 0 2
2,091,000 0 0 0 0 2
3,053,000 0 0 0 0 2
203.5 0 0 0 0 1
215.7 0 0 0 1 1
8,967,719 0 0 0 0 1
8,863,945 0 0 0 0 1
1st 0 0 0 4 50
3,616,000 0 0 0 0 1
6,111,000 0 0 0 0 2
411.8 0 0 0 0 1
418.1 0 0 0 0 1
8,958,100 0 0 0 0 1
8,850,656 0 0 0 0 1
COMMISSION 0 2 0 1 0
RAINBOW/PROGRESSIVE 0 0 0 1 0
&lt;Progressive 0 0 0 5 0
&lt;Rainbow 0 0 0 6 1
Ltd>, 0 0 0 46 19
Rainbow 0 0 0 24 0
formation 3 1 1 7 0
&lt;Astral 0 0 0 5 0
one-for-one 0 0 0 6 1
basis. 0 2 6 20 14
lifted 4 2 3 6 5
Progressive 0 0 0 30 1
&lt;Transcapital 0 0 0 1 0
Craig 0 0 3 2 0
Heatley, 0 0 0 1 0
Gary 1 0 0 3 0
Lane 0 0 0 2 0
Ken 0 0 0 1 0
Wikeley, 0 0 0 1 0
Transcapital 0 0 0 1 0
acquiring 1 0 0 35 4
Astral 0 0 0 1 0
Pacific, 0 1 0 4 0
&lt;Brierley 0 0 0 6 0
Investments 0 1 0 18 8
frequent 0 1 1 1 0
critic 0 0 0 1 0
4.20 0 0 0 4 2
N.Z. 0 2 2 12 2
Monday. 1 1 6 7 3
PHYSICIANS 0 0 0 0 2
&lt;AMPH> 0 0 0 0 1
268,000 0 0 0 0 4
134,000 0 0 0 0 3
6,951,000 0 0 0 0 2
5,938,000 0 0 0 0 1
623,000 0 0 0 0 2
24.6 0 0 0 0 6
24.3 0 0 0 0 7
american 0 0 0 0 1
physicians 0 0 0 1 1
inc. 0 0 0 1 2
&lt;FIN> 0 0 0 3 0
BRANCHES 0 0 0 2 0
Financial 2 1 3 85 38
Corporation 3 13 1 3 6
America's 0 0 2 6 0
Loan 0 2 0 52 20
savings 2 10 1 23 9
branches 0 0 2 16 5
Gibraltar 0 1 0 3 0
&lt;GFC> 0 0 0 1 0
purchase, 0 0 2 6 1
Home 1 7 0 28 11
Loans, 0 0 0 1 0
Savings' 0 0 0 1 0
deposits 3 0 26 11 6
La 2 7 0 9 1
Jolla, 0 0 0 1 0
Mesa 1 0 0 1 1
San 3 3 0 38 6
Juan 2 0 0 2 1
Capistrano, 0 0 0 1 0
Calif. 0 0 0 9 1
TULTEX 0 0 0 0 3
&lt;TTX> 0 0 0 0 3
INCREASES 2 0 0 1 20
TO-FITNESS 0 0 0 0 2
&lt;TFIT> 0 0 0 0 2
DISTRIBUTION 0 0 0 0 14
To-Fitness 0 0 0 0 1
exclusive 1 0 0 9 2
Florida 1 1 0 8 4
distributor 0 0 0 15 6
hardpack 0 0 0 0 1
version 0 2 1 0 4
frozen 2 1 1 2 3
dessert 0 0 0 0 1
Tofutti 0 0 0 0 4
Brands 0 0 0 5 5
&lt;TOF>, 0 0 0 0 1
replacing 1 0 1 2 3
Pillsbury 0 2 0 1 7
Co's 1 0 0 14 9
&lt;PSY> 0 0 0 1 4
Haagen 0 0 0 0 1
Dazs. 0 0 0 0 1
CONVENIENCE 0 0 0 0 1
&lt;NCS> 0 0 0 0 1
HAVE 1 3 0 7 15
Convenience 0 0 0 0 4
Stores 0 0 0 23 10
Texas, 3 0 0 14 6
Houston. 0 0 0 1 1
quarter, 8 1 2 7 61
1,788,000 0 0 0 0 2
2,883,000 0 0 0 0 2
186 0 0 2 1 3
stores 0 4 0 33 24
operator. 1 0 0 2 1
2,500,000 0 0 0 6 4
unusually 1 4 1 0 1
gallon 1 1 0 0 2
rapidly 2 1 2 3 1
falling 15 3 14 2 15
prices. 30 13 2 10 14
usually 1 8 3 0 4
winter 5 84 0 0 2
weather. 1 7 0 0 2
PEPCO 0 0 0 0 1
&lt;POM> 0 0 0 0 3
MTHS 0 0 0 0 28
49 1 2 2 26 43
25.1 0 0 0 1 10
28.9 1 0 0 1 8
202.8 0 0 0 0 2
220.9 0 0 0 0 1
4.05 0 1 0 0 2
3.66 1 2 0 1 4
223.9 0 0 0 0 1
186.4 0 0 0 0 1
1.35 1 3 0 2 14
1.34 0 2 0 0 19
Potomac 0 0 0 0 1
mln, 24 14 4 3 66
Virginia 0 0 0 7 7
territory 0 0 0 0 3
Power. 0 0 0 0 2
NESTLE 0 0 0 2 4
ACQUIRE 0 0 0 48 0
NABISCO 0 0 0 1 0
BUSINESSES 0 0 0 2 0
Swiss-based 0 0 0 1 0
&lt;Nestle 0 0 0 2 0
S.A.>'s 0 0 0 1 0
Nestle 0 0 0 4 4
&lt;Nabisco 0 0 0 1 0
Ltd>'s 0 0 0 3 0
Club, 0 0 2 1 0
Melrose, 0 0 0 1 0
Dickson 0 0 0 1 0
Chase 0 0 4 12 1
Sanborn 0 0 0 1 0
businesses 2 1 1 43 21
final 11 23 9 28 57
required 3 6 17 36 13
approvals, 1 0 0 7 0
shortly. 0 0 0 6 2
hotels, 0 0 0 2 1
restaurants 0 0 0 11 3
Nabisco 0 0 0 3 0
pct-owned 2 0 0 4 8
RJR 0 0 0 2 0
&lt;RJR>. 0 0 0 1 0
&lt;CANADIAN 0 0 0 0 5
SATELLITE 0 0 0 0 2
COMMUNICATIONS> 0 0 0 0 1
SIX 0 0 0 5 21
Period 0 0 0 0 32
474,000 0 0 0 0 2
1,175,000 0 0 0 0 2
17,946,000 0 0 0 0 1
9,271,000 0 0 0 0 1
513,000 0 0 0 0 1
Satellite 0 0 0 2 1
Communications 1 0 0 43 14
HE 3 0 9 8 0
STANDS 0 0 4 0 0
PACT 5 2 7 26 1
FOSTER 0 0 6 0 0
STABLE 1 0 5 0 0
CURRENCIES 0 0 16 0 0
TELCO 0 0 0 0 2
&lt;TELC> 0 0 0 0 2
DELAYS 0 0 0 1 2
DEFENSIVE 0 0 0 0 1
RIGHTS 1 0 0 8 6
OFFERING 0 1 0 3 3
Telco 0 0 0 0 1
distribute 0 1 1 7 9
rights 11 0 0 99 30
pending 4 4 1 42 11
necessary 13 3 25 20 15
DEVICES 0 0 0 0 3
&lt;GDIC> 0 0 0 0 1
48 3 1 4 1 42
1,308,503 0 0 0 0 1
561,384 0 0 0 0 1
56.0 0 2 1 0 2
66.1 0 0 0 0 1
pretax 0 0 0 26 101
2,429,563 0 0 0 0 1
Worldwide 4 0 1 4 3
Computer 0 0 0 31 7
Services 3 2 0 37 22
352,000 0 0 0 0 4
credit. 1 0 0 3 34
CARDINAL 0 0 0 0 1
&lt;CDNI> 0 0 0 0 1
RESTATES 0 0 0 2 4
Cardinal 0 0 0 0 2
235,000 2 0 0 0 5
485,000 0 0 0 0 3
failure 4 0 6 7 2
automated 0 0 0 4 2
mid-year 0 0 0 0 1
replaced 3 3 1 5 1
Reliance 0 0 1 1 1
segment 2 0 0 1 14
sustained 1 1 2 0 6
promotional 0 0 0 0 3
advertising 0 0 0 2 7
expenses. 0 0 0 4 10
284,000 0 1 0 0 3
271,000 0 0 0 0 3
30.7 0 0 0 0 2
23.0 0 3 0 0 9
48,000 0 3 0 0 3
13,000 0 2 1 0 7
earnings, 0 1 0 2 21
101,000 0 0 0 0 2
8,363,000 0 0 0 0 1
6,636,000 0 0 0 0 1
141,000 0 0 0 0 2
340,000 0 7 0 1 3
previously. 1 1 1 3 5
MAIZE 0 23 0 0 0
committee 17 35 22 35 2
importers 0 4 5 1 0
contracts 18 21 19 12 10
Companies 0 3 0 5 1
20, 3 2 2 5 7
Oregon 0 2 0 5 2
won 3 7 5 1 11
supply 42 24 52 12 4
110,000 2 2 0 1 3
priced 5 10 3 3 3
92.44 0 1 0 0 0
96.00 0 1 0 0 0
tonne, 0 22 0 0 0
1-15 0 6 0 0 0
November 1 8 10 18 27
5-20 0 3 0 0 0
delivery. 1 7 0 1 0
Cargill 0 8 0 0 0
Minnesota 0 5 0 1 3
93.45 0 1 0 0 0
94.65 0 1 0 0 0
ADM 0 4 0 0 0
54,000 0 3 0 0 4
tonne 0 47 0 0 0
93.75 0 1 0 0 0
Cigra 0 2 0 0 0
33,000 0 6 0 0 1
96.89 0 1 0 0 0
25-December 0 1 0 0 0
Elders 1 1 0 10 3
Kansas 1 14 0 13 2
shipment, 1 10 0 0 0
96.06 0 1 0 0 0
c 0 7 0 0 0
f 0 6 0 0 0
Taiwan. 0 1 1 0 0
VTX 0 0 0 2 1
ELECRONICS 0 0 0 1 0
&lt;VTX> 0 0 0 1 1
SDTOCK 0 0 0 1 0
Electronics 0 0 0 12 9
five-for-four 0 0 0 1 5
split, 0 1 0 2 43
27. 5 0 0 9 9
GETS 4 0 5 36 5
LATE 0 1 14 0 0
market, 16 14 22 18 7
bringing 4 3 10 3 2
266 0 1 1 1 0
shortfall. 0 0 4 0 0
SIMMONS 0 0 0 0 1
AIRLINES 0 0 0 8 2
&lt;SIMM> 0 0 0 0 1
765,808 0 0 0 0 1
1,216,501 0 0 0 0 1
15.8 41 0 0 2 12
18.7 1 0 0 4 9
2,538,030 0 0 0 0 1
42.6 0 0 0 0 3
4,310,068 0 0 0 0 1
4,712,315 0 0 0 0 1
yr 0 0 0 0 32
aircraft, 0 0 0 0 2
resulting 2 3 11 14 26
DUTCH 0 2 11 1 1
ADVANCES 0 0 7 3 0
TOTAL 2 0 5 0 4
4.8 0 2 5 6 7
GUILDERS 0 0 4 0 2
accepted 1 31 8 19 3
bids 1 20 8 13 0
seven-day 0 0 11 0 0
advances 0 1 20 1 4
period 15 42 41 33 98
9 0 2 8 9 8
relieving 1 0 2 0 0
tightness. 0 1 2 0 0
Subscriptions 0 0 3 0 0
300 10 4 28 11 14
met 8 6 15 24 2
full, 0 0 3 1 1
amounts 2 6 15 8 20
facility 4 0 14 15 4
replaces 0 0 4 0 0
old 7 2 5 1 5
five-day 1 1 2 0 0
worth 3 18 27 66 8
rate. 1 5 16 1 5
Dealers 0 1 86 1 0
DRAFTS 0 0 1 0 0
CURRENCY, 0 0 1 0 0
SWAP 0 0 3 0 0
RISK 0 0 1 0 0
GAUGE 0 0 1 0 0
Board 3 26 26 25 3
voted 2 3 1 10 11
unanimously 0 1 1 9 1
propose 7 4 1 9 4
formula 1 0 1 1 2
swaps 0 0 10 0 1
ongoing 1 1 1 5 12
standard 4 0 5 2 1
takes 1 0 20 9 5
riskiness 0 0 1 0 0
assets. 0 0 3 27 19
Fed 0 0 98 1 0
identical 1 0 1 0 0
issues 4 6 13 7 7
England. 0 0 1 4 0
60-day 0 0 2 0 0
plan. 1 1 1 14 10
adopted 2 3 8 9 4
addresses 0 0 1 0 0
risks 3 0 7 2 3
swaps, 0 0 8 0 0
forward 4 3 16 2 8
instruments. 0 0 2 3 0
Previously, 0 0 1 2 6
Jan. 0 0 1 4 3
guidelines 0 0 8 0 4
off-balance-sheet 0 0 1 0 0
minimum 3 13 20 30 4
cushion 1 0 5 0 0
need 31 26 41 22 12
maintain. 0 0 1 0 0
Both 2 1 1 22 7
categories 0 2 2 0 0
assigned 4 0 3 0 0
needs. 5 2 1 1 0
potential 8 4 11 33 12
exposure. 0 0 1 0 0
measured 6 1 3 1 0
mark-to-market 0 0 1 0 0
asset, 0 0 1 1 3
replacement 1 0 2 4 4
cost. 1 0 1 0 2
Potential 0 0 1 0 0
calculated 3 5 2 4 4
statistical 3 0 2 0 0
analyses 0 0 1 0 0
staffs 0 0 1 0 0
regulators. 0 0 1 2 0
Future 0 1 1 0 0
life 2 3 8 11 12
asset. 0 0 1 3 2
gauge 0 1 2 0 0
attempted 0 0 2 6 1
conflicting 0 1 1 0 0
precision 0 0 1 3 0
simplicity. 0 0 1 0 0
ignore, 0 0 1 0 0
example, 5 6 2 1 1
relative 0 3 10 1 1
volatility 4 0 4 0 1
contracts. 1 5 2 0 2
center 1 0 1 4 3
principal 2 1 2 29 11
types 0 1 5 2 0
cautioned 0 1 2 0 1
ability 8 3 3 13 14
markets. 4 6 19 16 7
concluded, 0 0 1 2 0
inherent 1 0 4 0 0
constitute 0 0 1 5 0
element 0 0 3 1 0
profiles 0 0 1 0 1
organizations." 0 0 1 0 0
20-25 1 0 1 0 0
grounds 1 3 7 10 1
smaller 11 4 8 8 2
outweighed 0 0 2 0 1
costs. 0 6 1 3 25
excluded 0 2 3 3 10
organized 1 0 1 4 0
exchanges. 0 0 8 0 0
Governor 0 0 17 1 0
Martha 0 0 2 2 0
Seger 0 0 1 0 0
she 3 18 10 8 4
U.K.-U.S. 0 0 2 0 0
draft 3 2 2 2 0
rules. 1 0 3 1 0
PANSOPHIC 0 0 0 0 2
&lt;PNS> 0 0 0 0 2
6,197,000 0 0 0 0 1
4,880,000 0 0 0 0 1
17.1 0 0 0 1 16
1.38 2 0 0 2 15
1.20 1 1 0 0 20
10.4 0 2 0 1 28
52.5 0 0 0 0 5
41.8 0 0 0 0 4
JUSTICE 0 0 0 4 0
DEPT. 0 0 0 2 0
SUPPORTS 1 0 3 4 0
DISMISSAL 0 0 0 3 0
TWA 0 0 0 129 0
APPLICATION 0 0 0 7 0
USAIR 0 0 0 47 1
CONTROL 0 0 0 23 4
6-MAR-1987 0 0 0 2 2
12:28:37.20 0 0 0 0 2
&lt;ARB> 0 0 0 0 1
RECORD 0 3 3 1 13
DATE 0 0 0 3 6
Realty 0 0 0 6 3
Trust 4 0 11 33 42
6 3 4 2 12 11
expire 2 1 2 33 3
22. 0 0 1 2 8
Shareholders 0 0 0 3 6
subscribe 0 0 0 4 3
held, 0 0 0 2 4
3.75 0 0 1 5 3
&lt;SRV> 0 0 0 0 2
ALLIED-SIGNAL 0 0 0 6 0
&lt;ALD> 0 0 0 5 1
ELECTRONICS 0 0 0 4 18
Allied-Signal 0 0 0 8 2
Amphenol 0 0 0 4 0
Products 0 2 0 33 10
LPL 0 0 0 4 0
&lt;LPLI>, 0 0 0 1 0
Wallingford, 0 0 0 1 0
Conn., 0 0 0 3 0
430 0 0 1 1 3
Closing 0 0 0 12 0
soon, 2 3 5 3 0
warrants 1 0 5 50 9
which, 0 0 3 3 2
exercised, 0 0 0 1 0
Lisle, 0 0 0 1 0
Ill.-based 0 0 0 2 0
brand 0 0 0 8 1
interconnection 0 0 0 1 0
products. 5 1 0 21 9
Merrill 0 2 6 25 3
Lynch 0 2 6 25 3
committed 6 5 11 19 4
175 0 0 1 6 3
Allied-Signal. 0 0 0 1 0
340 0 0 1 6 3
financing, 0 0 0 11 1
offering 1 9 6 54 30
electronics 0 0 1 20 2
instrumentation 0 0 0 2 0
sector. 3 1 2 3 3
Lynch, 0 0 0 3 0
Needham 0 0 0 1 1
Lazard 0 0 0 1 0
Freres 0 0 0 1 0
advisors, 0 0 1 4 0
ASA 0 1 1 0 1
&lt;ASA> 0 0 1 0 1
1.42 2 1 1 0 4
1.61 0 0 1 0 10
13.6 0 2 5 6 16
15.5 3 0 0 3 16
77.72 0 0 0 0 1
54.35 0 0 0 0 1
TWO-DAY 0 0 3 0 0
SYSTEM 0 0 5 6 6
REPURCHASES 0 0 15 1 0
entered 2 4 13 43 7
arrange 0 1 13 9 1
two-day 4 0 2 0 0
repurchase 0 0 73 14 12
spokeswoman 5 3 3 22 3
6-1/8 0 0 8 0 0
injection 1 0 5 2 1
temporary 3 4 37 12 3
reserves, 6 0 15 1 5
Most 3 4 14 2 3
economists 2 3 65 1 1
customer 1 2 29 9 9
agreements. 2 1 10 4 1
LUCKY 0 0 0 4 3
&lt;LKS>, 0 0 0 1 0
EDELMAN 0 0 0 5 0
STANDSTILL 0 0 0 3 0
Lucky 0 0 0 14 4
Asher 0 0 0 4 0
Edelman 0 0 0 15 0
prohibits 1 0 0 2 0
specified 0 2 1 3 1
obtain 2 1 3 17 5
limits 3 9 7 9 2
ownership 2 0 0 39 9
Lucky's 0 0 0 1 0
securities. 0 0 3 7 8
arrangement 1 0 0 12 3
provides 2 5 4 27 4
parties, 0 0 0 1 0
calls 2 4 8 24 3
withdrawal 4 0 0 18 6
Edelman's 0 0 0 2 0
motion 1 0 0 9 0
intervene 2 0 41 3 0
directors, 0 0 0 10 2
standstill 0 2 0 3 1
apply 1 12 3 6 2
Hancock 0 0 0 4 0
Fabrics 0 0 0 6 2
spun 0 0 0 3 1
stockholders, 0 0 0 4 3
submit 2 1 1 6 1
stockholders 0 0 0 25 20
views 1 0 6 5 3
concerning 1 0 4 14 4
repeal 4 0 0 3 3
charter 0 0 0 5 1
stockholders. 0 0 0 2 1
Edelman, 0 0 0 1 0
Stores' 0 0 0 1 0
rebuffed 0 1 0 4 0
implimented 0 0 0 1 0
restructuring 5 0 9 39 80
reincorporation 0 0 0 2 0
Delaware. 1 0 0 2 0
spinoff 0 0 0 12 0
Textile 0 0 0 1 0
chain 0 0 1 16 6
324 1 0 0 1 0
stores, 0 2 0 8 5
Plaza 0 0 17 2 0
sued 0 0 0 2 0
block 7 0 3 40 1
reincorporation, 0 0 0 1 0
latest 16 18 22 8 9
arrangement, 1 0 1 2 0
reimburse 0 2 0 2 1
out-of-pocket 0 0 0 1 0
expenses, 0 0 1 3 7
serves 0 1 0 12 1
avoiding 3 0 0 1 0
accompanying 1 1 2 1 5
demands 0 8 2 1 0
time," 0 3 6 6 2
Lillie 0 0 0 1 0
ZAYRE 0 0 0 0 4
LEAVES 0 0 7 1 1
INTERVENTION 0 8 18 0 0
7-3/4 0 0 19 0 1
OFFICIAL 8 5 9 4 2
SUNSHINE 0 0 0 0 3
PETRIE 0 0 0 0 3
&lt;PST> 0 0 0 0 3
EASTMAN 0 0 0 5 0
KODAK 0 0 0 7 1
&lt;EK> 0 0 0 4 1
Eastman 0 0 0 4 7
Kodak 0 0 0 10 6
ICN 0 0 0 8 2
Pharmaceuticals 0 0 0 2 2
&lt;ICN> 0 0 0 2 1
Viratek 0 0 0 1 0
&lt;VIRA>. 0 0 0 1 0
purpose 0 1 2 9 0
investments 6 0 6 8 28
lay 0 0 3 4 2
groundwork 0 0 0 1 0
creation 0 0 1 1 0
Nucleic 0 0 0 1 0
Acid 0 0 0 1 0
Research 5 2 1 16 5
Institute. 0 0 0 2 0
Since 2 4 12 8 4
achieved, 0 0 0 1 0
positions, 1 0 1 1 0
470,000 0 0 0 2 2
sahres 0 0 0 1 0
ICN, 0 0 0 1 0
18-3/4 0 0 0 1 0
Viratek, 0 0 0 1 0
44. 0 0 0 1 0
STANDARD 2 0 1 8 7
PRODUCTS 0 3 0 10 27
&lt;STD> 0 0 0 0 1
RAVEN 0 0 0 0 1
&lt;RAV> 0 0 0 0 1
142,000 0 0 0 0 2
12.6 0 3 0 6 16
8,736,000 0 0 0 0 1
1.02 1 0 2 0 11
2,122,000 0 0 0 0 2
1,611,000 0 0 0 0 1
52.3 0 0 0 0 4
41.9 0 0 0 1 4
CANTERBURY 0 0 0 0 1
PRESS 0 0 0 5 1
NOV 0 0 0 0 13
1.7 3 1 0 11 26
26,708 0 0 0 0 1
35,084 0 0 0 0 1
447,548 0 0 0 0 1
243,161 0 0 0 0 1
4,300 0 0 1 0 1
8,300 0 0 0 0 1
HERLEY 0 0 0 0 1
MICROWAVE 0 0 0 3 3
&lt;HRLY> 0 0 0 0 1
275,000 0 0 0 0 1
490,000 0 0 0 0 5
885,000 0 0 0 0 1
884,000 0 0 0 0 1
6.1 0 1 0 3 11
Company's 0 0 0 0 16
Herley 0 0 0 0 1
Microwave 0 0 0 9 4
MACNEAL-SCHWENDLER 0 0 0 0 2
&lt;MNS> 0 0 0 0 2
2-1/2 0 0 0 2 8
two-for-one 0 0 0 2 71
CHINA 6 21 2 1 0
JANUARY 4 3 4 0 10
WHEAT/SUGAR 0 1 0 0 0
IMPORTS 3 8 1 0 2
AGO 5 2 0 0 2
China's 0 10 0 0 2
393,000 0 2 0 0 1
Daily 4 11 3 3 5
Business 0 3 3 17 8
Weekly 0 3 1 2 0
quoting 1 6 3 2 0
customs 0 4 1 0 0
25,165 0 1 0 0 0
54,000, 0 1 0 0 0
rice 0 69 3 0 0
71,144 0 1 0 0 0
20,000. 0 1 0 0 0
details. 5 6 6 20 8
DEVON 1 0 0 0 1
RESOURCE 1 0 0 1 5
INVESTORS 1 0 2 9 11
&lt;DIN> 1 0 0 0 1
END 1 0 3 10 21
835,000 0 0 0 0 2
8,617,000 0 0 0 0 1
11.8 0 0 0 0 12
INVESTMENT 1 0 3 16 8
CYCLOPS 0 0 0 43 0
&lt;CYL&lt; 0 0 0 1 0
Halcyon 0 0 0 6 0
Investments, 0 0 0 3 0
partnership, 1 0 0 25 2
288,000 0 0 0 1 0
Cyclops 0 0 0 113 0
26.1 0 0 0 1 2
ordinary 0 0 5 39 19
that, 6 3 13 20 11
purchases. 0 1 1 4 1
bulk 3 12 4 4 5
Feb 4 8 0 28 50
ELECTRIC 0 0 0 5 11
&lt;GE> 0 0 0 3 1
DATEL 0 0 0 1 0
GE 0 0 0 3 7
Semiconductor 0 0 0 16 3
Datel 0 0 0 1 0
led 9 8 14 67 6
unit's 0 0 1 11 4
president, 4 0 0 13 8
Nicolas 0 0 0 1 0
Tagaris. 0 0 0 1 0
Tagaris 0 0 0 1 0
founded 0 1 0 6 2
produces 3 1 0 14 4
subsystems, 0 0 0 1 0
1970. 0 0 0 1 0
1979. 2 0 0 1 2
WEAN 0 0 0 0 1
&lt;WID> 0 0 0 0 1
3.0 4 1 2 1 13
349,000 0 0 0 0 3
35.6 0 0 0 0 5
49.3 0 0 0 0 3
2.87 0 1 0 0 3
7.9 1 0 0 5 7
140.3 0 0 0 0 2
169.2 0 0 0 0 1
NOTE:earnings 0 0 0 0 1
requirements, 0 3 1 2 3
one-time 0 2 0 3 18
GELCO 0 0 0 2 4
ADVANCED 0 0 0 1 4
INSTITUTIONAL 0 0 0 0 1
&lt;AIMS> 0 0 0 0 1
CUTS 6 2 1 16 11
WORKFORCE 0 0 0 0 1
Advanced 0 0 0 5 3
Institutional 0 0 0 1 1
Software 0 0 0 5 7
workforce 2 0 0 3 5
74 2 2 2 3 16
Atlanta 0 0 0 8 1
office 2 2 2 21 7
profitability. 0 1 0 1 5
space 0 1 1 1 2
nationwide. 0 0 0 0 2
Steven 0 1 0 1 5
B. 0 0 0 4 6
Sheppard 0 0 0 2 1
Morris 0 0 0 3 6
Moliver 0 0 0 0 1
well. 2 0 3 3 5
RYAN'S 0 0 0 0 1
FAMILY 0 0 0 1 2
STEAK 0 0 0 0 1
&lt;RYAN> 0 0 0 0 1
Ryan's 0 0 0 0 1
Family 0 0 0 1 1
Steak 0 0 0 1 2
Houses 0 0 0 0 2
three-for-one 0 0 0 0 10
6. 1 1 1 3 8
authorized 0 9 4 16 44
&lt;TRIDEL 0 0 0 0 2
INITIAL 0 0 0 0 26
27 11 4 10 37 99
(CORRECTED)-BANKERS 0 0 0 0 1
&lt;BT> 0 0 0 1 2
41-1/2 0 0 0 0 2
Bankers 6 0 9 6 8
(Company 0 0 0 0 3
corrects 0 0 0 1 9
date, 2 0 0 4 2
25, 0 4 4 2 10
story 0 0 0 0 2
ran 3 2 2 1 3
yesterday. 6 8 22 21 2
HOST 0 0 0 0 2
&lt;GH> 0 0 0 0 2
Host 0 0 0 0 1
Frank's 0 0 0 0 1
Nursery 0 0 0 3 3
Crafts 0 0 0 0 1
29.7 0 0 1 0 2
discovered 9 1 0 0 3
computerized 0 0 0 2 2
accounts 10 0 11 4 19
nursery 0 0 0 0 1
craft 0 0 0 0 1
Flower 0 0 0 0 1
Time 0 0 0 9 6
affected. 1 2 0 1 1
accountants 0 0 0 0 5
investigating 0 0 0 4 2
problem, 1 1 2 0 1
delay 0 5 3 7 5
full-year 0 0 0 0 10
&lt;SDC 0 0 0 0 2
SYDNEY 0 0 0 0 2
DEVELOPMENT 0 0 0 3 13
NINE 0 0 0 0 16
1.08 0 0 0 1 19
84 0 1 0 5 15
7,700,000 0 0 0 0 2
1,700,000 0 0 0 2 3
11,800,000 0 0 0 0 1
9,800,000 0 0 0 0 1
300,000 8 17 0 8 12
shr, 0 0 0 0 11
SANWA 0 0 0 2 1
SMALL 0 1 2 3 0
PORTUGUESE 0 2 0 3 0
Sanwa 0 0 1 9 2
