crude grain money-fx acq earn
"We're 1 3 1 9 2
1986/87, 1 10 0 0 5
one-third 2 3 1 6 4
relief 7 3 2 2 2
partially 5 2 0 4 5
Brazil, 3 3 1 5 4
CHEMLAWN 0 0 0 16 0
14.6 0 0 0 1 15
13.4 1 2 2 0 11
14.5 0 3 0 4 9
exact 1 3 1 5 6
cotton 0 15 0 1 0
contingent 0 0 0 11 5
Germany. 0 0 8 2 6
tankers 16 0 0 0 0
properties. 2 1 0 3 10
damages 3 0 1 10 2
DIVISION 1 0 0 14 1
Argentine 2 13 0 0 1
weeks, 2 1 5 5 3
employees. 2 0 0 10 4
calling 3 0 5 5 3
19.5 1 0 0 1 14
representative 1 5 6 2 2
experience 2 0 2 7 5
labor 0 1 1 7 7
three-year 2 1 3 2 8
reported. 7 5 2 2 0
December. 5 2 1 5 3
segment 2 0 0 1 13
excluded 0 2 3 3 8
17.1 0 0 0 1 15
REPURCHASES 0 0 15 1 0
STANDARD 1 0 1 7 7
Company's 0 0 0 0 16
Semiconductor 0 0 0 14 2
unit's 0 0 1 11 4
DEVELOPMENT 0 0 0 3 13
STRONG 0 2 0 0 14
causing 0 7 4 5 0
China, 4 9 1 0 2
MONTHS 2 0 0 0 14
Bass 4 0 0 10 2
kept 7 3 4 1 1
shown 4 2 3 3 4
23. 0 1 3 4 8
Nippon 1 1 0 11 3
software 0 0 0 11 5
1.85 0 2 3 2 9
restructuring. 0 0 0 10 6
seems 2 5 7 2 0
9.1 1 1 0 4 10
obligations 1 2 0 9 4
AUSTRALIAN 3 6 3 3 1
jumped 1 2 3 4 6
acceptable 1 1 4 5 5
traffic 2 3 0 2 9
Santos 11 0 0 4 1
6.6 1 0 1 6 8
extended. 0 0 0 16 0
aerospace 0 0 1 14 1
radio 2 0 0 13 1
referring 5 4 2 2 3
seemed 1 0 9 5 1
serve 2 1 4 9 0
Kuwait, 10 0 6 0 0
Arabia, 10 1 5 0 0
23, 0 1 4 5 6
loading 3 12 0 0 1
load 2 9 1 0 4
Association, 0 9 2 2 3
recession 5 1 7 1 2
Allegheny 0 0 0 16 0
assuming 6 1 0 4 5
INCREASE 2 1 0 5 8
Prices 11 3 0 0 2
HIKES 0 0 0 1 15
Light 8 2 0 2 4
concerns 1 3 2 8 2
relations 3 4 4 5 0
surplus. 1 1 10 3 1
240 0 1 2 9 4
17.50 15 1 0 0 0
finding 5 4 4 2 1
tell 1 6 5 2 2
Greece 10 6 0 0 0
OPEC's 16 0 0 0 0
appear 1 3 5 4 3
market's 1 0 15 0 0
S. 3 0 3 8 2
1.80 1 1 5 2 7
DIXONS 0 0 0 16 0
Marine 3 0 2 8 3
currency. 0 1 14 1 0
chances 2 3 7 2 2
year." 4 2 1 3 6
bit 0 1 6 4 5
"As 3 2 3 6 2
indirectly 1 0 13 2 0
Following 1 3 3 7 2
Chapter 2 0 0 4 10
EEP 0 16 0 0 0
aide 0 15 1 0 0
15.0 0 1 1 1 13
raw 1 2 0 3 10
pushing 1 4 10 1 0
books 0 0 4 2 10
putting 2 2 3 7 2
crop, 0 16 0 0 0
WANTS 4 1 8 3 0
transportation 3 4 0 8 1
PRICE 6 4 1 3 2
showing 0 5 8 0 3
API 16 0 0 0 0
structural 0 2 9 3 2
1.87 1 3 7 0 5
Transport 3 0 0 10 3
Exchange. 0 7 0 7 2
currency, 0 0 14 0 2
broadly 0 0 13 1 2
14.1 0 1 0 1 14
Indonesian 12 1 1 1 1
secretary 2 7 4 3 0
fundamentals 1 0 15 0 0
2, 1 1 6 1 7
6.4 0 2 0 3 11
16.6 3 0 0 0 13
5.7 0 1 0 5 10
willingness 4 3 4 4 1
1.45 0 5 0 0 11
18. 0 0 1 6 9
Crude 14 0 0 0 2
arranged 1 1 2 11 1
invited 1 1 12 1 1
LP 0 0 0 3 13
1.40 2 1 0 0 13
Spanish 0 10 2 2 2
transferred 1 1 3 8 3
SEEKING 2 2 0 11 1
Wednesday 4 2 4 5 1
16.5 3 1 0 2 10
tight 5 2 7 0 2
contract, 4 4 8 0 0
exercisable 0 0 1 12 2
deficit, 1 0 13 1 0
9.4 1 0 0 5 9
MINING 0 0 0 7 8
expanded 3 2 1 3 6
reviewing 5 1 0 8 1
interim 0 0 3 3 9
objective 1 1 8 2 3
LOAN 5 2 0 1 7
adverse 0 3 4 4 4
AMC 0 0 0 14 1
&lt;AMO> 0 0 0 12 3
total. 0 2 0 9 4
November, 3 1 0 5 6
somewhat 2 1 6 2 4
Unit 0 0 5 2 8
14.7 3 1 0 1 10
Supply 5 4 0 4 2
Mexico 8 3 0 2 2
Korea 1 7 7 0 0
officer. 0 0 0 7 8
bullish 7 2 4 0 2
fears 3 1 7 2 2
terminal 5 5 0 4 1
coast 9 4 0 2 0
vessels 8 5 0 2 0
19.6 0 0 0 4 11
10.0 1 0 2 2 10
25.6 0 1 0 2 12
Generale 0 0 0 12 3
93 0 1 1 3 10
approvals. 0 0 0 11 4
managed 3 0 3 7 2
37.5 0 0 0 5 10
clients 2 0 4 4 5
arbitrage 0 0 0 13 2
Belgian 0 0 6 7 2
RIGHTS 1 0 0 8 6
tonne, 0 15 0 0 0
LATE 0 1 14 0 0
DUTCH 0 2 11 1 1
example, 5 6 2 1 1
SYSTEM 0 0 3 6 6
views 1 0 6 5 3
ELECTRIC 0 0 0 4 11
pence 0 0 1 9 5
Foods 0 0 0 8 7
turned 0 5 3 3 4
Hill 1 2 0 7 5
factors, 1 0 8 1 5
Strategic 11 0 0 0 4
Policy 3 4 3 5 0
St. 1 2 1 9 2
City, 0 1 0 13 1
19.8 0 2 0 2 11
plastics 3 0 0 9 3
unsuccessful 1 0 0 13 1
asking 1 1 3 9 1
modest 3 3 5 1 3
tomorrow. 2 3 6 4 0
Technologies 0 0 0 7 8
POSTINGS 15 0 0 0 0
Deputy 7 5 3 0 0
wells 13 0 0 1 1
Private 2 9 1 2 1
carryforwards 0 0 0 1 14
jobs 7 0 4 2 2
February. 2 4 4 2 3
momentum 2 0 7 0 6
fluctuations 4 1 7 0 3
directors. 0 0 0 10 5
Act 0 2 0 6 7
surprise 2 0 4 7 2
water 4 8 0 3 0
Sterling 0 0 10 4 1
registration 3 0 0 7 5
1.17 0 0 0 0 15
5.0 1 2 2 3 7
Australia, 1 6 0 7 1
River 6 3 0 4 2
Yesterday, 2 1 0 9 3
side 3 0 3 5 4
18.2 0 1 0 1 13
15.7 2 0 0 0 13
VENTURE 2 0 0 10 3
common, 0 0 0 10 5
Analyst 1 0 2 6 6
flows 1 0 9 3 2
requiring 0 3 1 8 3
"will 3 3 2 2 5
prove 3 2 5 4 1
Mills 1 2 3 8 1
dependent 3 2 1 6 3
liquids 9 0 0 4 2
carrying 3 2 1 0 9
wait 3 1 6 4 1
initiative 2 13 0 0 0
disputed 8 1 1 5 0
Turkish 12 0 3 0 0
quotas 9 4 2 0 0
stopped 4 3 2 3 3
built 6 2 1 1 5
Price 4 5 1 4 1
5.6 1 2 0 2 10
battle 2 1 2 9 1
Affiliates 0 0 0 15 0
Citicorp 0 0 0 13 2
92.50 0 0 0 15 0
maintained 3 1 2 2 7
Eight 0 0 0 0 15
8.9 0 2 0 1 12
industries 0 2 4 2 7
applications 1 4 2 7 1
12.3 1 0 0 1 13
PUROLATOR 0 0 0 15 0
LBO 0 0 0 15 0
action. 4 2 2 6 1
1.65 0 3 0 1 11
fast 0 0 4 6 5
Fund. 0 0 5 1 9
28. 0 0 3 1 11
customers. 1 1 4 6 3
triggered 2 1 8 4 0
aggregate 1 0 1 11 2
1.36 0 0 0 1 14
range. 1 0 0 7 7
bid, 1 0 0 13 1
boosting 0 2 6 5 2
CAESARS 0 0 0 14 1
ACCORD 1 1 10 3 0
occur 1 2 7 3 2
imports, 7 5 3 0 0
evidence 1 2 6 3 3
ever 3 2 3 3 4
profits. 0 2 0 4 9
mark, 0 1 12 0 2
fall. 3 2 10 0 0
INTEREST 0 2 5 7 1
averaging 3 1 8 1 2
deficit. 2 0 12 0 1
Lawson 2 0 13 0 0
rental 1 3 0 2 9
AMERICA 0 0 0 2 13
evaluate 3 1 0 11 0
county 0 14 0 1 0
accord. 2 0 11 2 0
Shell 12 0 0 0 3
felt 0 3 3 3 6
African 2 5 0 6 2
pre-split 0 0 0 1 14
SECURITY 1 0 0 10 4
resolve 4 0 5 4 2
refineries 15 0 0 0 0
west 8 3 0 3 1
Several 3 1 3 8 0
deadline 0 2 4 7 2
minorities 0 0 0 0 15
GERMAN 0 3 7 4 1
CHEMICAL 0 0 0 6 9
RULES 2 5 4 3 1
County, 3 0 0 9 3
strike 7 2 1 2 3
Parliament 1 1 11 2 0
fundamental 4 1 9 1 0
Coast 4 3 0 7 1
Thomas 1 1 3 8 2
London, 4 1 4 4 2
16.9 0 0 0 1 14
requirements. 1 0 2 3 9
Illinois 1 4 0 6 4
Gulf, 10 4 1 0 0
Cooperation 6 1 8 0 0
presence 6 1 2 5 1
outcome 2 3 1 4 5
indications 2 2 7 2 2
1.01 1 1 2 0 11
respond 0 3 4 7 1
3, 0 0 2 5 8
June. 7 3 1 1 3
losses. 4 2 1 1 7
whom 1 2 2 10 0
corporations 0 1 5 7 1
disclosure 0 1 3 9 1
flexibility 1 0 3 2 8
pressures 2 1 8 2 1
specify 0 0 2 11 1
attempts 3 0 2 8 1
130 1 0 1 7 5
climbed 1 0 1 7 5
14.4 1 1 0 0 12
creating 1 4 5 3 1
11.9 0 0 1 0 13
LIFE 0 0 0 6 8
depends 0 3 6 3 2
severely 3 5 3 0 3
Midland 0 5 3 3 3
there's 1 4 3 5 1
tried 0 2 7 5 0
900 2 3 5 1 3
16.4 0 2 0 1 11
participating 1 3 2 8 0
prompted 2 2 6 1 3
19.4 1 1 0 1 11
THIS 2 2 3 3 4
capacity, 6 1 0 1 6
extensive 6 3 0 3 2
&lt;Canadian 2 0 0 9 3
exposure 0 0 3 2 9
Waste 0 0 0 11 3
CHRYSLER 0 0 0 12 2
MORTGAGE 0 0 0 2 12
qtr. 0 0 0 0 14
equally 1 1 1 7 4
Maize 0 14 0 0 0
Steel 0 0 0 6 8
PUBLIC 0 0 1 2 11
1.27 1 0 0 0 13
declines 4 1 3 2 4
carrier 2 2 0 6 4
Deutsche 0 0 4 4 6
participants 1 4 8 0 1
coupled 6 1 3 2 2
GASOLINE 14 0 0 0 0
7.3 1 4 0 2 7
stands 2 5 1 3 3
encouraging 3 1 6 1 3
crisis 5 2 5 0 2
written 1 2 2 3 6
6,000 1 9 0 1 3
involves 0 0 1 12 1
inadequate 0 4 1 8 1
rains 0 14 0 0 0
crops, 0 14 0 0 0
maize, 0 14 0 0 0
MINES 0 0 0 2 12
BARLEY 0 14 0 0 0
stocks, 5 6 0 2 1
tenders 0 9 2 3 0
surge 0 3 8 0 3
applied 1 3 3 5 2
great 1 3 6 2 2
improvements 2 0 3 2 7
grown 0 3 5 4 2
across 3 4 3 2 2
COURT 2 0 1 11 0
FOOD 0 4 1 6 3
TRADERS 2 11 0 1 0
faces 2 2 1 3 6
DISTRIBUTION 0 0 0 0 14
Florida 1 1 0 8 4
usually 1 7 2 0 4
HE 2 0 7 5 0
expenses. 0 0 0 4 10
risks 3 0 6 2 3
relative 0 2 10 1 1
arrangement 1 0 0 10 3
serves 0 1 0 12 1
1.02 1 0 2 0 11
6.1 0 1 0 3 10
6. 1 1 1 3 8
NINE 0 0 0 0 14
accrued 1 0 0 4 9
weaker 2 1 8 1 2
allowance 9 0 0 0 5
dependence 12 0 2 0 0
11.0 0 2 0 2 10
Lake 2 1 1 6 4
14.0 0 2 0 0 12
NIPPON 1 0 0 10 3
TALKING 1 0 1 11 1
resist 1 0 6 7 0
It's 0 5 5 2 2
predict 3 1 1 3 6
job 2 2 1 3 6
automotive 0 0 0 6 8
analysts, 1 0 3 4 6
IV 0 2 0 12 0
crude, 14 0 0 0 0
Ecuador's 14 0 0 0 0
linking 7 2 3 1 1
km 14 0 0 0 0
east 7 3 0 4 0
pumping 14 0 0 0 0
exported 3 11 0 0 0
22.6 1 1 0 0 12
"There's 1 2 4 4 3
"At 2 2 4 2 4
writeoff 0 0 1 0 13
employs 0 0 0 12 2
station 2 0 0 8 4
BRITISH 1 1 0 6 6
1.22 1 0 0 0 13
Minerals 1 0 1 10 2
eastern 4 7 0 3 0
Petrobras 14 0 0 0 0
Health 0 0 0 10 4
Includes 0 0 0 0 14
reject 0 1 0 12 1
borrowings 1 0 0 4 9
&lt;AG> 0 0 0 14 0
Bank. 0 0 5 5 4
difficulties 2 2 3 2 5
exchangeable 0 0 1 7 6
doubtful 0 1 4 1 8
communications 0 1 0 5 8
CITY 0 0 0 6 8
each, 0 0 0 12 2
optimism 6 1 3 1 3
same. 1 0 1 1 11
Kuwaiti 12 0 2 0 0
adjust 3 5 5 0 1
eliminate 1 2 2 4 5
manufacturers 1 1 2 7 3
occurred 3 3 3 1 4
His 4 2 3 4 1
incentive 6 1 3 3 1
expensive 2 4 3 1 4
nation 9 1 3 1 0
8.8 3 0 0 0 11
generic 0 12 0 1 1
spread 1 4 2 6 1
Hughes 3 0 0 11 0
Tool 3 0 0 11 0
WEST 2 2 0 4 6
reaction 1 2 8 1 2
secured 1 1 1 10 1
approval, 0 0 1 12 1
Third 2 1 3 1 7
ABOUT 0 0 6 5 3
parliamentary 1 0 11 2 0
reasons 2 2 6 3 1
5,000 2 4 2 4 2
28.5 1 0 0 1 12
Wednesday, 0 1 9 2 2
again. 1 2 7 4 0
31.7 1 0 0 4 9
Bancshares 0 0 0 10 4
&lt;PCC> 0 0 0 14 0
Marketing 1 3 0 6 4
margin 0 0 3 5 6
GMT 1 0 6 5 2
HARPER 0 0 0 11 3
Texaco 14 0 0 0 0
"to 2 2 4 5 1
1.29 1 1 0 0 12
exports. 5 3 5 1 0
adversely 1 1 3 0 9
divest 0 0 0 14 0
property. 1 0 0 3 10
Toronto 1 0 1 9 3
"These 3 3 2 3 3
Group's 3 0 0 11 0
eligible 0 12 0 2 0
SUPERMARKETS 0 0 0 10 4
EXPORTERS 0 12 2 0 0
par 0 0 1 3 10
residual 12 1 1 0 0
Group, 1 0 0 10 3
liquid 4 2 3 1 4
1.79 0 0 1 0 13
owners 2 1 0 9 2
6.9 1 0 0 2 11
Wireless 0 0 2 11 1
barrels, 12 0 0 1 1
E. 2 1 0 6 5
BUNDESBANK 0 0 14 0 0
drive 0 1 4 6 3
0/92 0 14 0 0 0
Also, 7 2 0 4 1
postponed 6 3 1 4 0
save 2 9 0 0 3
17.3 2 0 0 1 11
mergers 0 0 0 12 2
Portland, 0 5 0 7 2
courier 0 0 0 14 0
MIYAZAWA 0 0 14 0 0
continental 9 0 0 2 3
STREET 0 0 0 8 6
scale 2 3 2 5 2
Because 4 0 5 3 2
tender. 0 3 4 7 0
Telegraph 0 0 0 5 9
40,000 7 1 0 1 5
soared 3 1 4 3 3
&lt;PIE> 0 0 0 13 1
obtained 1 6 0 7 0
MEETING 1 3 0 9 1
encouraged 0 3 5 1 5
L.P. 0 0 0 8 6
BORG-WARNER 0 0 0 14 0
Engineering 0 0 0 8 6
PIEDMONT 0 0 0 12 2
outlined 1 4 2 5 2
USAir's 0 0 0 14 0
traditionally 4 1 4 0 5
Hotel 0 0 0 11 3
interest, 0 0 0 10 4
heard 3 3 3 5 0
HOME 0 3 0 1 10
Group. 0 1 0 11 2
proceeding 0 0 0 10 4
payments, 2 3 2 3 4
ACCEPTS 0 12 0 2 0
officials, 6 3 2 3 0
1.48 0 1 0 0 13
takeover. 2 0 0 12 0
bushels 1 13 0 0 0
Soviets 0 14 0 0 0
reform 4 2 2 2 3
16.8 0 1 0 2 10
downturn 3 0 3 1 6
detailed 3 3 2 3 2
4.6 3 0 1 0 9
owning 2 0 0 10 1
identified, 3 4 2 2 2
27.5 5 0 0 3 5
21.7 0 0 0 1 12
INTO 0 1 0 12 0
we're 1 4 3 3 2
passed 1 7 3 1 1
reporters. 1 1 4 4 3
island 8 0 3 1 1
Taft 0 0 0 13 0
announced. 3 2 0 5 3
inject 2 0 9 1 1
investment, 4 1 2 4 2
20,000 2 7 0 1 3
method 0 0 0 1 12
Utilities 0 0 0 1 12
REFINERY 12 0 0 1 0
PROPOSAL 1 2 0 9 1
149 0 0 11 0 2
Appropriations 2 4 6 1 0
actually 1 5 4 3 0
completing 0 0 0 12 1
seasonal 6 1 3 0 3
pace 3 1 2 2 5
14, 0 5 0 1 7
pursuant 1 0 1 11 0
20.9 2 0 0 3 8
20.8 0 0 0 0 13
freight 0 9 0 3 1
Backlog 0 0 0 0 13
assume 0 0 1 10 2
25.2 1 1 0 0 11
23.9 0 0 0 0 13
destinations 0 11 0 1 1
Indonesia 7 4 2 0 0
About 2 2 4 3 2
750,000 0 3 0 3 7
network 1 0 0 10 2
questions 1 2 4 6 0
Latest 0 0 1 0 12
businesses, 1 0 0 4 8
proposing 0 4 1 5 3
guilders. 0 1 5 1 6
trade, 1 3 5 1 3
troubled 3 1 0 5 4
up, 0 2 6 2 3
12.9 0 0 1 2 10
1.32 0 0 0 0 13
7.4 3 0 0 5 5
Limited 2 0 0 6 5
violations 3 0 0 8 2
mineral 1 0 0 8 4
ARGENTINE 2 11 0 0 0
figures, 1 4 2 1 5
Taiwan's 0 6 7 0 0
subsequent 1 1 0 7 4
Cereals 0 13 0 0 0
amount. 0 1 1 9 2
HUGHES 0 0 0 11 2
necessarily 0 1 9 1 2
Reuters, 0 5 2 5 1
me 2 1 3 7 0
HOLDING 0 0 0 7 6
13.2 0 0 0 3 10
made, 1 3 0 7 2
merchant 1 0 1 7 4
focused 0 1 5 3 4
DEBT 2 0 6 1 4
La 2 4 0 6 1
pct-owned 2 0 0 4 7
replaced 3 3 1 5 1
18.7 1 0 0 3 9
stores, 0 2 0 6 5
Plaza 0 0 11 2 0
NOV 0 0 0 0 13
IMPORTS 3 7 1 0 2
well. 2 0 3 3 5
gradually 1 4 4 0 4
middle 3 2 2 4 2
Australia's 4 4 0 3 2
Herrington 13 0 0 0 0
auto 0 0 1 10 2
loss. 1 0 0 1 11
Tire 1 0 0 11 1
11, 3 2 1 1 6
looks 0 1 7 1 4
ACTION 0 1 3 7 2
2.25 1 3 0 3 6
Equipment 1 0 0 10 2
LABORATORIES 0 0 0 2 11
SWISS 0 0 5 4 4
WTI 13 0 0 0 0
Inc) 0 0 0 8 5
reported, 3 0 1 4 5
Economists 1 0 12 0 0
Chemicals 0 0 0 10 3
concerted 1 0 12 0 0
1.44 3 0 0 2 8
withdrew 1 1 2 9 0
Allied 0 0 0 10 3
proven 5 0 2 4 2
So 4 0 4 4 1
proxy 0 0 0 9 4
drought 0 13 0 0 0
own. 1 0 0 10 2
value, 2 1 1 7 2
9. 0 0 4 5 4
County 1 0 0 10 2
SEEK 2 0 0 11 0
repayment 5 2 1 3 2
Telecom 0 0 0 10 3
ADDS 1 0 11 1 0
shareholder, 0 0 0 11 2
sides 2 2 4 5 0
deals 3 0 2 7 1
lenders 0 0 1 4 8
Italy's 1 0 3 7 2
apparent 3 2 5 3 0
DEPARTMENT 0 0 0 3 10
FUTURES 3 6 4 0 0
crucial 5 3 5 0 0
index 2 0 10 0 1
movement 1 4 5 2 1
approached 2 0 2 9 0
semiconductor 0 0 2 10 1
Fujitsu 0 0 0 13 0
Defence 6 1 0 5 1
Algeria 5 8 0 0 0
attack 9 1 2 1 0
Shrs 0 0 0 0 13
Bond 0 2 3 7 1
17, 0 2 2 4 5
ground 6 2 2 2 1
Turkey 10 3 0 0 0
Representative 1 5 5 2 0
Johnson 1 2 3 6 1
term. 2 1 4 1 5
expenditures 2 1 2 0 8
Upham 3 0 5 3 2
wage 1 2 6 2 2
des 3 1 1 4 4
Manhattan 0 0 3 9 1
Proceeds 0 0 0 10 3
90.25 0 0 0 13 0
Audio/Video 0 0 0 13 0
increase. 2 1 1 2 7
Call 0 1 12 0 0
analysts' 0 1 0 2 10
volumes 5 2 1 1 4
AS 5 1 4 3 0
further. 0 1 5 2 5
pact. 3 0 7 3 0
periods. 0 0 0 0 13
22.5 1 0 0 2 10
citing 4 5 1 1 2
12-1/2 0 0 2 0 11
consolidation 0 1 3 1 8
future," 2 1 3 4 3
18.5 2 0 1 5 5
grade 9 3 0 1 0
steadily 5 4 2 0 2
&lt;Dixons 0 0 0 13 0
here, 3 1 7 0 2
UK 2 3 6 1 1
DOWN 3 4 5 0 1
1.07 0 0 1 0 12
producers, 5 8 0 0 0
conditional 0 1 0 12 0
Eastern 3 2 2 4 2
funding 1 1 2 5 4
6.0 0 2 0 6 5
HEALTH 1 0 0 3 9
cheap 7 2 3 0 1
Natural 6 1 0 4 2
containing 0 3 1 9 0
responsible 2 4 1 4 2
elected 0 0 1 10 2
stores. 0 2 0 3 8
excessive 2 2 8 0 1
basket 0 1 12 0 0
curb 6 1 6 0 0
Properties 1 0 0 1 11
degree 3 3 2 3 2
1983, 3 2 0 2 6
three-month 2 1 8 2 0
oilfield 7 0 0 5 1
consist 2 1 0 9 1
themselves 2 0 6 4 1
23.1 0 0 1 1 11
notes. 1 0 1 9 2
participate 1 1 0 9 2
extra 1 3 2 3 4
operator 3 0 0 6 4
EMS 0 0 11 2 0
banks' 0 0 9 2 2
disaster 0 10 1 0 2
acquisitions, 1 0 0 5 7
20.3 0 3 0 0 10
often 3 2 7 1 0
1.06 1 0 1 1 10
case, 1 3 1 6 2
importance 1 3 4 3 2
2nd 0 0 0 0 13
13, 3 4 0 1 5
M. 1 0 0 10 2
7,000 1 4 0 1 7
certificates, 0 9 1 1 2
person 1 2 0 9 1
PAY 1 1 0 5 6
holder 0 0 1 9 3
II 1 2 3 3 4
24.9 0 0 0 5 8
season. 0 10 0 1 2
helping 2 0 5 4 2
wish 4 1 2 5 1
headquartered 0 0 0 12 1
LAWSON 1 0 11 0 1
SECOND 4 0 0 0 9
480 0 11 1 1 0
1.14 2 0 1 1 9
trade. 1 2 8 2 0
COULD 0 4 2 3 4
satisfy 0 1 1 8 3
30.3 1 0 0 2 10
Ohio, 0 1 0 12 0
1.39 0 0 0 0 13
Argentina 0 12 0 1 0
USAir. 0 0 0 13 0
Mobil 12 0 0 1 0
Over 2 5 4 0 2
CPC 0 0 0 10 3
rebound 1 0 8 0 4
dlrs," 6 2 1 2 2
cold 0 11 0 1 1
Sugar 1 0 0 10 2
dollars, 1 0 10 1 1
Only 6 5 2 0 0
depth 4 0 4 5 0
election 0 0 6 7 0
defence 6 0 1 4 2
1.13 0 0 0 1 12
difference 2 7 2 2 0
Edward 1 4 0 5 2
advise 0 0 0 12 0
civil 0 5 2 3 2
Agreement 2 6 4 0 0
148 0 1 9 0 2
17.4 1 1 0 1 9
16.0 1 1 0 0 10
29.1 0 0 0 0 12
1981 2 3 1 1 5
conservation 1 11 0 0 0
negotiated 0 0 0 12 0
growers 0 12 0 0 0
soon. 1 1 5 5 0
complaint 0 4 0 7 1
FORECASTS 1 2 1 0 8
Gross 0 1 1 0 10
105 0 1 2 2 7
ITS 1 0 1 9 1
Dudley 0 0 0 12 0
INDUSTRY 8 1 0 2 1
AID 4 4 1 2 1
restrict 3 4 3 0 2
delays 0 1 2 1 8
income. 1 1 1 0 9
accumulated 0 0 0 7 5
shut 11 0 0 0 1
Profit 0 0 0 0 12
taxes. 0 0 0 1 11
conservative 1 0 3 2 6
Joint 1 6 0 5 0
signal 2 2 8 0 0
INDUSTRIAL 0 0 2 3 7
19.1 1 0 0 1 10
Entertainment 0 0 0 9 3
20.7 0 0 0 0 12
1.04 0 0 1 0 11
notice 0 0 1 7 4
Press 3 0 1 5 3
reply 3 2 2 5 0
attend 3 0 8 0 1
falls 4 1 3 1 3
INCOME 0 0 0 0 12
regulators 1 1 2 3 5
default 0 0 1 2 9
ultimately 1 2 1 4 4
TOKYO 0 0 12 0 0
1.09 0 0 0 1 11
Fe 0 4 0 8 0
41.5 0 5 0 0 7
journalists 0 1 5 2 4
intervention. 0 1 11 0 0
Partly 0 0 12 0 0
aggressive 2 1 3 1 5
completely 1 3 4 2 2
hoping 1 1 5 2 3
Even 1 2 7 1 1
America, 1 1 0 5 5
inventories 8 0 1 2 1
acquisitions. 1 0 0 1 10
Profits 0 0 2 0 10
formation 3 1 1 7 0
unanimously 0 1 1 9 1
Closing 0 0 0 12 0
sector. 3 1 2 3 3
directors, 0 0 0 10 2
7-3/4 0 0 11 0 1
purpose 0 1 2 9 0
quoting 1 6 3 2 0
11.8 0 0 0 0 12
7.9 1 0 0 4 7
discovered 8 1 0 0 3
extending 3 2 0 7 0
preference 0 0 1 8 3
ESTIMATES 0 7 0 1 4
RICE 0 12 0 0 0
surpluses 0 5 7 0 0
wider 3 2 3 2 2
VALLEY 0 0 0 4 8
Valley 1 0 0 6 5
problems. 1 2 5 1 3
ranged 1 10 0 0 1
Mutual 0 0 0 11 1
generated 1 0 0 5 6
APPROVED 0 1 0 5 6
alleged 1 2 0 6 3
Singapore 1 0 5 4 2
550 0 0 6 3 3
exceeded 2 1 0 2 7
1.99 3 0 0 1 8
favourable 2 3 3 3 1
Shamrock 5 0 0 6 1
70,000 0 8 0 2 2
Thursday, 1 1 5 3 2
EXPLORATION 7 0 0 2 3
steep 4 0 6 0 2
expected. 3 1 5 0 3
marginal 2 4 3 0 3
housing 2 0 5 1 4
20.0 0 2 0 1 9
disposition 0 0 0 4 8
phase 3 0 2 1 6
SUMITA 0 0 12 0 0
43.8 0 0 1 1 10
advertisement, 0 0 0 12 0
arrangements 1 1 3 4 3
Gulf. 7 4 0 0 1
presently 0 0 1 7 4
turning 1 2 2 4 3
Hongkong 0 0 0 4 8
cancelled 7 3 0 1 1
19.2 0 0 0 0 12
reversal 1 1 1 0 9
Gencorp 0 0 0 11 1
careful 1 1 4 5 1
waste 1 1 0 6 4
treatment 1 0 1 6 4
estate. 1 0 0 5 6
Siemens 0 0 0 11 1
approvals 0 0 0 11 1
convinced 2 2 4 3 1
1.64 0 2 0 1 9
Guaranty 0 0 6 4 2
SPECIAL 0 1 3 2 6
discussing 1 1 0 9 1
discussion 3 3 3 3 0
3.50 1 2 2 3 4
SHEARSON 1 0 0 11 0
fleet 4 0 0 4 4
market," 3 2 4 0 3
thing 1 4 2 4 1
exchange. 2 1 5 2 2
address 2 1 5 1 3
Many 1 2 6 2 1
integrated 0 1 0 10 1
JAPANESE 0 2 3 6 1
Malcolm 0 0 1 11 0
N.J., 0 0 0 12 0
BOND 0 1 3 4 4
MONTHLY 0 0 0 0 12
producers. 6 5 0 0 1
"We've 4 3 2 2 1
warships 12 0 0 0 0
waters 10 2 0 0 0
nature 1 0 3 8 0
emphasis 2 1 1 4 4
34.9 0 0 1 1 10
states, 3 4 0 5 0
ECONOMIC 2 2 7 1 0
Exporting 12 0 0 0 0
Countries 11 1 0 0 0
King 6 0 0 4 2
temporarily 5 1 2 2 2
carefully 2 1 4 5 0
forces 4 2 4 2 0
rises 5 1 5 0 1
backlog 0 0 0 1 11
environment 1 0 1 4 6
strengthened 1 4 1 1 5
invested 3 0 1 4 4
units, 2 1 0 3 6
maintaining 3 4 2 1 2
seriously 1 6 2 3 0
divided 5 1 4 2 0
plunged 5 0 6 0 1
doubt 0 0 6 6 0
undervalued 0 0 9 3 0
electric 1 0 0 6 5
1/4 1 0 5 4 2
STARTS 1 0 0 10 1
announced, 1 2 0 4 5
principally 0 0 2 4 6
Freight 0 3 0 7 2
Exchange, 1 3 1 1 6
upcoming 1 4 3 1 3
closure 4 0 0 1 7
show. 2 8 1 0 1
close. 1 0 1 5 5
1.33 0 2 0 0 10
6.8 0 2 0 2 8
1.46 1 1 0 0 10
Kenneth 1 0 6 2 3
assistant 1 3 6 2 0
exporting 1 7 3 0 1
Dynamics 0 0 0 7 5
14.2 0 0 0 0 12
MAJOR 0 4 3 3 2
Growers 0 11 0 1 0
fresh 3 3 4 0 2
1.31 1 0 1 1 9
